1,	5,  7860, 70e6, 0.001
2,	6,  7860, 70e6, 0.001
3,	7,  7860, 70e6, 0.001
4,	8,  7860, 70e6, 0.001
2,	5,  7860, 70e6, 0.001
1,	6,  7860, 70e6, 0.001
3,	6,  7860, 70e6, 0.001
2,	7,  7860, 70e6, 0.001
4,	7,  7860, 70e6, 0.001
3,	8,  7860, 70e6, 0.001
1,	8,  7860, 70e6, 0.001
4,	5,  7860, 70e6, 0.001
1,	2,  7860, 70e6, 0.001
2,	3,  7860, 70e6, 0.001
3,	4,  7860, 70e6, 0.001
1,	4,  7860, 70e6, 0.001
1,	3,  7860, 70e6, 0.001
2,	4,  7860, 70e6, 0.001
5,	9,  7860, 70e6, 0.001
6,	10,  7860, 70e6, 0.001
7,	11,  7860, 70e6, 0.001
8,	12,  7860, 70e6, 0.001
5,	10,  7860, 70e6, 0.001
6,	9,  7860, 70e6, 0.001
7,	10,  7860, 70e6, 0.001
6,	11,  7860, 70e6, 0.001
8,	11,  7860, 70e6, 0.001
7,	12,  7860, 70e6, 0.001
5,	12,  7860, 70e6, 0.001
8,	9,  7860, 70e6, 0.001
5,	6,  7860, 70e6, 0.001
6,	7,  7860, 70e6, 0.001
7,	8,  7860, 70e6, 0.001
5,	8,  7860, 70e6, 0.001
5,	7,  7860, 70e6, 0.001
6,	8,  7860, 70e6, 0.001
