1,	5,  7860, 70e6, 0.01
2,	6,  7860, 70e6, 0.01
3,	7,  7860, 70e6, 0.01
4,	8,  7860, 70e6, 0.01
2,	5,  7860, 70e6, 0.01
1,	6,  7860, 70e6, 0.01
3,	6,  7860, 70e6, 0.01
2,	7,  7860, 70e6, 0.01
4,	7,  7860, 70e6, 0.01
3,	8,  7860, 70e6, 0.01
1,	8,  7860, 70e6, 0.01
4,	5,  7860, 70e6, 0.01
1,	2,  7860, 70e6, 0.01
2,	3,  7860, 70e6, 0.01
3,	4,  7860, 70e6, 0.01
1,	4,  7860, 70e6, 0.01
1,	3,  7860, 70e6, 0.01
2,	4,  7860, 70e6, 0.01
5,	9,  7860, 70e6, 0.01
6,	10,  7860, 70e6, 0.01
7,	11,  7860, 70e6, 0.01
8,	12,  7860, 70e6, 0.01
5,	10,  7860, 70e6, 0.01
6,	9,  7860, 70e6, 0.01
7,	10,  7860, 70e6, 0.01
6,	11,  7860, 70e6, 0.01
8,	11,  7860, 70e6, 0.01
7,	12,  7860, 70e6, 0.01
5,	12,  7860, 70e6, 0.01
8,	9,  7860, 70e6, 0.01
5,	6,  7860, 70e6, 0.01
6,	7,  7860, 70e6, 0.01
7,	8,  7860, 70e6, 0.01
5,	8,  7860, 70e6, 0.01
5,	7,  7860, 70e6, 0.01
6,	8,  7860, 70e6, 0.01
